"Title"	"Title_Link"	"Duration"	"View"	"Sub"	"Likes"	"Dislikes"	"Date"	"Description"
"21"	"Cookies 1st Place | FRONTROW | World of Dance #WODLA '14"	"/watch?v=IQYyDtzmPB0"	386	1216788	489821	10965	185	16188	"Cookies | FRONTROW | World of Dance #WODLA '14#WODFRONTROW#WODLifestyle - Make sure to pick up the latest World of Dance Merchandise and Apparel now at http://www.worldofdance.com/storeSupport the movement. Subscribe here.https://www.youtube.com/worldofdanceFollow us on Twitter, Instagram and like us on Facebook:https://twitter.com/worldofdancehttps://instagram.com/worldofdancehttps://www.facebook.com/worldofdance...For more dance news, tour info, and videos like this, go to:http://www.worldofdance.com/"
"22"	"Flavahz | FRONTROW | World of Dance #WODLA '14"	"/watch?v=cbKRm1Xf5mo"	278	1205394	489821	12627	171	16190	"Flavahz | FRONTROW | World of Dance #WODLA '14#WODFRONTROW#WODLifestyle - Make sure to pick up the latest World of Dance Merchandise and Apparel now at http://www.worldofdance.com/storeSupport the movement. Subscribe here.https://www.youtube.com/worldofdanceFollow us on Twitter, Instagram and like us on Facebook:https://twitter.com/worldofdancehttps://instagram.com/worldofdancehttps://www.facebook.com/worldofdance...For more dance news, tour info, and videos like this, go to:http://www.worldofdance.com/"
"23"	"Chachi Gonzales from IaMmE at MWC Mondays - Chris Brown \"Should've Kissed You\" - World of Dance"	"/watch?v=mdAv65cXmmc"	176	1165156	489821	7018	84	15202	"World of Dance brings you Mos Wanted Workshop Monday's at the America's Best Dance Crew's Season 3 Champions Quest Crew at Quest Learning Center in Artesia, CA. This week featured Chachi Gonzales of IaMmE's ABDC's Season 6 Champions teaching to Chris Brown \"Should've Kissed You\" from his FAME Album available now on iTunes.NO COPYRIGHT INFRINGEMENT, FOR INSPIRATIONAL USE ONLY.Chachi Gonzaleswww.twitter.com/chachigonzalesMos Wanted Crewwww.twitter.com/moswantedcrewWorld of Dance Tourwww.twitter.com/worldofdancewww.facebook.com/worldofdancetourFirst song: Beyonce - best thing i never hadwww.worldofdance.comFilmed and edited by Justin Carrillo and Rod Jonaswww.twitter.com/rodjonaswww.twitter.com/TOTCollective#WODLife - Make sure to pick up the latest World of Dance Merchandise and Apparel now at http://www.worldofdance.com/store"
"24"	"Step Up 4: Revolution Kathryn McCormick & Cody Green || Intro by Ryan Guzman  World of Dance LA 2012"	"/watch?v=xyZIudOilc4"	345	1127657	489821	5288	109	15446	"Stay tuned for all of our amazing news by going to http://www.worldofdance.com/ for the latest on our mobile app, website, merchandise, and tour.Support the movement. Subscribe here.www.youtube.com/worldofdancetourFollow us on Twitter and like us on Facebook:https://twitter.com/#!/worldofdancehttps://www.facebook.com/worldofdance...For more videos like this go to:http://www.worldofdance.com/#WODLife - Make sure to pick up the latest World of Dance Merchandise and Apparel now at http://www.worldofdance.com/store"
"25"	"Chachi Gonzales | FRONTROW | World of Dance San Diego #WODSD"	"/watch?v=3Q8kpHL5r9I"	156	1021744	489821	8636	296	16378	"World Of Dance San Diego 2014Dance Videos FIRST at the new http://WORLDOFDANCE.COM #worldofdance Like it! Share it!#WODLifestyle â Make sure to pick up the latest World of Dance Merchandise and Apparel now at http://www.worldofdance.com/storeSupport the movement. http://worldofdance.comFollow us on Twitter, Instagram and like us on Facebook: https://twitter.com/worldofdance https://instagram.com/worldofdance https://www.facebook.com/worldofdanceâ¦For more dance news, tour info, and videos like this, go to: http://www.worldofdance.com/"
"26"	"Jabbawockeez RAW FOR PROMO Live at World of Dance 2010 - Pomona - Part 2-Best High Def HD"	"/watch?v=ydOWVRvNcCw"	416	919403	947	1471	102	14712	"Jabbawockeez performing live at World of Dance 2010 - Pomona. Part 2 of 2. The Jabbawockeez appeared as a special guest at the first stop of the 2010 World of Dance Tour in Pomona, CA.. All footage provided courtesy of MoAb Films.. For more information about World Of Dance or the World of Dance tour got to www.worldofdance.com or www.worldofdancetour.com."
"27"	"Philippine Allstars - Philippines (Adult) @ HHI's 2013 World Hip Hop Dance Championship Finals"	"/watch?v=ol4E3aeZpGg"	150	912333	189569	1798	86	15930	"\"UNITING THE WORLD OF HIP HOP THROUGH DANCE\"Philippine Allstars - Philippines (Adult Division) @ Hip Hop International's 2013 World Hip Hop Dance Championship, held August 3 -11, 2013 at the Red Rock Resort and Orleans Arena.  Over 250 crews, represented over 40 nations.  26 crews in four divisions advanced to the World Finals held at the Orleans Arena with over 6,000 in attendance.  The top three crews in each division received Gold, Silver and Bronze medals.https://hiphopinternational.comFollow us on Twitter and like us on Facebook:https://twitter.com/OfficialHHIhttps://www.facebook.com/OfficialHHIHHI 2013 DVD Available: http://hiphopinternational.com/shops/"
"28"	"Les Twins | World Of Dance 2012 |"	"/watch?v=9gQaee7Ozb0"	458	901773	5948	4859	99	15439	"Les Twins return at World of Dance Tour.00:40 Michael Jackson -- Liberian Girl01:51 Chalice Serrano ft. Legend da Beatslaya -- SWAG02:59 Lil Wayne ft. Bun B, Nas, Shyne & Busta Rhymes -- Outro03:18 Victorious -- Sasuri Goza Makura03:57 DJ NastyNas -- Hypnotize05:04 Saybeats -- I've Been Shot06:10 BeyoncÃ© -- I Was HereEnd of second song to third song transition my camera cut out... Wasn't going to upload the video because of it. But seems i got one of the best angles with good quality so i decided to share regardless...Ignore extra tags\"nshhTV\" \"CRIMINALZ CREW VS KRUMP\"\"Larry best freestyle\" \"Larry HHI Freestyle\" \"Larry Las Vegas\" \"Les Twns Las Vegas\" \"Hip Hop International\" \"Blogging ABDC\" \"Les Twins Interview\" \"Interview\" \"Step x step dance Interview\" \"Les Twins Beyond the talent interview\" \"Les Twins HHI 2012\" \"Les Twins Hip Hop International 2012\" \"Beamer Bentz or Bentley Larry\" \"Best Of Les Twins\" \"Larry Freestyle\" \"Poreotics\" \"Neguin\" \"Les Twins & Poreotics\" \"Rollup Flosstradamus\" \"japan sneak preview\" \"japan project\" \"les twins japan\" \"les twins new style\" \"les twins 2013\" \"les twins 2012\" \"les twins new\" \"djnastynas\" \"dj nasty nas\" \"les twins music\" \"mixtape preview\" \"djnastynas mixtape preview\" \"hypnotise beat\" \"legend da beatslaya\" \"challice serano\" \"swag\" \"les twins bishkek song\" \"les twins krygystan\" \"Les Twins Lets go\" \"Les Twins Tunay Studio\" \"Les Twins Hypnotise Beat\" \"Larry Solo\" \"Larry Solo Performance\" \"Larry WOD\" \"Les Twins WOD\" \"Laurent WOD\" \"Les Twins YAKFilms\" \"Best Les Twins\" \"Best Videos of Les Twins\" \"Les Twins Cute\" \"Larry Signature Move\" \"Larry Footwork\" \"Laurent Freestyle\" \"VladoFootwear\" \"If You Crump Stand Up\" \"eDiT Ants\" \"Swag\" \"Les Twins Montage\" \"Les Twins Tokyo Japan\" \"Les Twins New Style\" \"All Style Battle\" \"Larry vs Ruin\" \"Larry vs Mz Poppin\" \"Les Twins Battles\" \"Les Twins Win\" \"Larry vs Laurent\" \"Les Twins Final\" \"Les Twins Semi Final\" \"Les Twins Incroyable Talent\" \"Les Twins Auditions\" \"Larry Footwork Tutorial\" \"Dance Tutorial\" \"Best Dance\" \"Best Dancers\" \"Best Double Act\" \"Best Dancers In The World\" \"Les Twins and Pacman\" \"CocoPops\" \"Best Poppers\" \"Best Popping\" \"Best Breakdancer\" \"Best Breakdancing\" \"Bboy Lilou\" \"BboyBattles\" \"Best Bboy Battles\" \"Les Twins Footwork\" \"Les Twins Interview\" \"Laurent Interview\" \"Les Twins Busta Rhymes\" \"Les Twins Beyonce\" \"Les Twins Beyonce Show\" Les Twins (Laurent) vs J-Boogie (Round 1) Les Twins Laurent vs J-Boogie Hip Hop international 2012 Les Twins vs 812 crew Larry Laurent ca-blaze lil' beast freestyle afterparty footwork battle"
"29"	"Quest Crew Performs at World of Dance Pomona"	"/watch?v=qjDZ_TfoprU"	330	864096	99208	2106	71	14339	"Quest Crew closed off the show exhibition for the World of Dance in Pomona, CA this past Saturday, April 4, 2009. Our new video journalist and crew member Melissa Harrison was able to secure a corner spot on stage to capture the peformance for all you Pacific Rim Video viewers along with Dancetag.tv. Check out dancetag.tv and worldofdancetour.com in the coming days for straight on camera shots."
"30"	"Chachi Gonzales | World of Dance Live | FRONTROW | VIDCON 2013"	"/watch?v=_XHz6yM4hr0"	127	863945	489821	10289	159	15919	"World of Dance (WOD LIVE) Frontrow Feature : Chachi Gonzales at VIDCON 2013#WODFRONTROWSupport the movement. Subscribe here.https://www.youtube.com/worldofdanceFollow us on Twitter and like us on Facebook an Instagramhttps://twitter.com/worldofdancehttps://instagram.com/worldofdancehttps://www.facebook.com/worldofdance...For more dance news, tour info, and videos like this, go to:http://www.worldofdance.com/#WODLife - Make sure to pick up the latest World of Dance Merchandise and Apparel now at http://www.worldofdance.com/store"
"31"	"The Production | FRONTROW | World of Dance Las Vegas 2014 #WODVEGAS"	"/watch?v=VxF6wLajKZY"	583	851913	489821	12968	137	16430	"World of Dance Las Vegas 2014 #WODLVDance Videos FIRST at the new http://WORLDOFDANCE.COM #worldofdance Like it! Share it!#WODLifestyle â Make sure to pick up the latest World of Dance Merchandise and Apparel now at http://www.worldofdance.com/storeSupport the movement. Subscribe here. https://www.youtube.com/worldofdanceFollow us on Twitter, Instagram and like us on Facebook:https://twitter.com/worldofdancehttps://instagram.com/worldofdancehttps://www.facebook.com/worldofdanceâ¦For more dance news, tour info, and videos like this, go to: http://www.worldofdance.com World of Dance Las Vegas 2014 #WODLV"
"32"	"I.Am.Me-World of Dance Seattle 2011"	"/watch?v=wYZbboovP9w"	484	786967	516	5087	65	15229	""
"33"	"NY Reppin' feat. Bones Hill, Dollaz, Sam Iam(Flexing & Bone Breaking) Battle Stars | World of Dance"	"/watch?v=QtcdOPRCjPw"	267	749767	489821	5934	84	15162	"World of Dance feature video featuring Bones Hill, Dollaz, Sam Iam of Battlefest All Stars. Brooklyn is holding it down with jaw dropping dancing that changes the face of viewers and causes on lookers to cover their mouths in shock. How do they move like this? Stay tuned for World of Dance tutorials featuring all of your favorites styles and dance including the hot off the streets new emerging dance moves. Subscribe now to World of Dance Tour's Youtube channel to be one the first to see our newly released videos weekly. Thanks for your support!!!MUSIC BY:1st song: Killer Mike \"Ready Set Go\"2nd song: Red Cafe \"Hottest Nigga in the Hood\"3rd song: Teninoru \"The Machines - Dope! (Dubstep)\"Directed by Rod Jonas. Filmed by Ariel Amaro and Israel Carbajal. Edited by Israel Carbajal. www.twitter.com/rodjonas#WODLife - Make sure to pick up the latest World of Dance Merchandise and Apparel now at http://www.worldofdance.com/store"
"34"	"8 Flavahz \"Walk Like a Champion\", at the World Dance Awards Show 2013."	"/watch?v=-PYG8opve2s"	157	737753	2717	6337	69	16076	"Choreographed by Tricia Miranda, for the World Dance Awards Show Oct 13th, 2013. Welcome to the World Dance Awards, the premier international dance award show recognizing the art of media choreography, the choreographers and all \"dance-makers\" around the world! Hollywood has the Oscars, the Emmys, and the Grammys and now it has the World Dance Awards! Honoring the best Media Choreographers in the dance world today!World Dance Awards bringing the dance world together for the biggest night of dance of the year!The Categories the World Dance Awards recognizes are Feature Film, Television Episodic, Television Live Performance, Television Award Show/Special, Commercials, Music Video, Concert/Live Performance and introducing Best Foreign Choreography, plus the Next Generation Award. With footage from the best 40 pieces of choreography nominated, celebrity presenters and 8 dance performances, from hip-hop, contemporary, cabaret and classical ballet, created by the top Choreographers and performed by the most talented Dancers in the world today, gives the World Dance Awards the synergy unlike any other show of its kind.For more info about the World Dance Awards go to www.worlddanceawards.com"
"35"	"Les Twins Dance Battle Circle - pt 1 | World Of Dance New York 2011 | Sharp Edge Events"	"/watch?v=HPAhJJh-eNE"	135	728003	4857	2168	34	15136	"http://www.DirectorJosephRivera.comFilmed and Edited by: Joseph Rivera (@directorjosephr)Â© Sharp Edge Productions 2011Leaders in Music Video and Creative Productionhttp://www.SharpEdgeProductions.comhttp://www.DirectorJosephRivera.comSee more Les Twins Dance ----------------------------------Les Twins Battle Highlights (pieces of pt1-pt6)http://www.youtube.com/watch?v=wFxonB...Les Twins Dance Battle Circle - pt 1 (Lloyd Banks -Start it up)http://www.youtube.com/watch?v=HPAhJJ...Les Twins Dance Battle Circle - pt 2 (Kanye - Monster)http://www.youtube.com/watch?v=QccF5C...Les Twins Dance Battle Circle - pt 3 (Nicki Minaj - Romans Revenge)http://www.youtube.com/watch?v=ew6F6c...Les Twins Dance Battle Circle - pt 4 (Fat Man Scoop - Drop)http://www.youtube.com/watch?v=vhIbxg...Les Twins Dance Battle Circle - pt 5 (Jay-z - On to the next one)http://www.youtube.com/watch?v=ByqtHW...Les Twins Dance Battle Circle - pt 6 (Dirty Money - Hello)http://www.youtube.com/watch?v=EXkWJa..."
"36"	"World of Dance Seattle - ABDC Champions I.aM.mE feat. Chachi, JaJa, Moon, Brandon, Emilio, Pacman"	"/watch?v=mbdQdLq_gyg"	538	722620	489821	5868	86	15228	"I.aM.mE had the crowd going crazy as they put on a show performing solos and duos for the crowd with a crazy mix of styles. You're never disappointed with this dance crew lead by Pacman who was unable to make it because he's in Miami filming \"Step Up 4\" at the time. World of Dance Seattle set a new bench mark for the city as a live event. Stay tuned for more from your favorite dancers and up in coming talent.Join the movement. Subscribe now.www.youtube.com/worldofdancetourwww.worldofdance.comFilmed by Norman Arciaga. Edited by Justin Carrillo. Directed by Rod Jonaswww.twitter.com/totcollectivewww.twitter.com/rodjonas#WODLife - Make sure to pick up the latest World of Dance Merchandise and Apparel now at http://www.worldofdance.com/store"
"37"	"Fik Shun | FRONTROW | World of Dance #WODLA '14"	"/watch?v=uBhcQKE-tGo"	311	707887	489821	5982	59	16190	"Fik Shun | FRONTROW | World of Dance #WODLA '14#WODFRONTROW#WODLifestyle - Make sure to pick up the latest World of Dance Merchandise and Apparel now at http://www.worldofdance.com/storeSupport the movement. Subscribe here.https://www.youtube.com/worldofdanceFollow us on Twitter, Instagram and like us on Facebook:https://twitter.com/worldofdancehttps://instagram.com/worldofdancehttps://www.facebook.com/worldofdance...For more dance news, tour info, and videos like this, go to:http://www.worldofdance.com/"
"38"	"Chachi Gonzales | FRONTROW | World of Dance Las Vegas 2014 #WODVEGAS"	"/watch?v=hsoSNk7D5dg"	112	689487	489821	5807	461	16428	"World of Dance Las Vegas 2014 #WODLVDance Videos FIRST at the new http://WORLDOFDANCE.COM #worldofdance Like it! Share it!#WODLifestyle â Make sure to pick up the latest World of Dance Merchandise and Apparel now at http://www.worldofdance.com/storeSupport the movement. Subscribe here. https://www.youtube.com/worldofdanceFollow us on Twitter, Instagram and like us on Facebook:https://twitter.com/worldofdancehttps://instagram.com/worldofdancehttps://www.facebook.com/worldofdanceâ¦For more dance news, tour info, and videos like this, go to: http://www.worldofdance.com"
"39"	"Megan Batoon | FRONTROW | World of Dance #WODLA '14"	"/watch?v=gPYPOxbN45I"	98	677926	489821	8510	85	16190	"Megan Batoon | FRONTROW | World of Dance #WODLA '14#WODFRONTROW#WODLifestyle - Make sure to pick up the latest World of Dance Merchandise and Apparel now at http://www.worldofdance.com/storeSupport the movement. Subscribe here.https://www.youtube.com/worldofdanceFollow us on Twitter, Instagram and like us on Facebook:https://twitter.com/worldofdancehttps://instagram.com/worldofdancehttps://www.facebook.com/worldofdance...For more dance news, tour info, and videos like this, go to:http://www.worldofdance.com/"
